Entity,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9
MATCH,9999001,21518,2015/2016,2015-11-21,12,8633,8634,3,1
APPEARANCE,9999001,30893,True,5,11
APPEARANCE,9999001,35496,True,4,11
APPEARANCE,9999001,31921,True,6,11
APPEARANCE,9999001,30834,True,6,8
APPEARANCE,9999001,41890,True,2,4
APPEARANCE,9999001,30981,False,5,11
APPEARANCE,9999001,30992,False,4,11
APPEARANCE,9999001,43061,False,6,11
APPEARANCE,9999001,30955,False,4,8
APPEARANCE,9999001,30871,False,6,8
EVENT,9999001,99901,30893,25,goal
EVENT,9999001,99902,30893,45,goal
EVENT,9999001,99903,31921,60,goal
EVENT,9999001,99904,30981,85,goal
