Entity,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9
MATCH,9999002,21518,2015/2016,2016-04-02,31,8633,71,0,3
APPEARANCE,9999002,30893,True,5,11
APPEARANCE,9999002,35496,True,4,11
APPEARANCE,9999002,31921,True,6,11
APPEARANCE,9999002,30834,True,6,8
APPEARANCE,9999002,41890,True,2,4
APPEARANCE,9999002,71,False,5,11
APPEARANCE,9999002,30992,False,4,11
APPEARANCE,9999002,43061,False,6,11
APPEARANCE,9999002,30955,False,4,8
APPEARANCE,9999002,30871,False,6,8
EVENT,9999002,99911,71,15,goal
EVENT,9999002,99912,71,30,goal
EVENT,9999002,99913,71,89,goal
